Description,DescValue
ad,60
hoc,46
â€¢respond,5
permanency,43
seasoned,27
acsâ€™,30
strengthen,40
resulting,50
reduced,6
lengths,2
re-entry,2
uniquely,2
welfare/clinical,2
advocates,42
consultationsâ€™,2
"â€¢	act",29
single,23
welfare,103
concurrent,6
kin,5
kingap,2
adoption,33
older,16
youth,326
"â€¢	link",10
"â€¢	help",34
omh,6
opwdd,4
"â€¢	utilize",31
"â€¢	",20
"â€¢	some",2
sme,13
"â€¢	strategically",1
"â€¢	stay",12
outlined,39
classification,38
"â€¢	write",17
descriptions,43
justifications,22
certifications,17
"â€¢	ensure",104
promotion,53
disqualifications,1
notifications,31
hiring,147
pools,51
enter,100
prise,3
recruitment-related,1
postings,23
"â€¢	may",50
absence,82
unprocessed/suspended,3
returned,18
double,10
posted,12
incorrect,7
s/he,167
notified,3
deposits,12
debits,3
misprocessed,3
trail,3
undertakes,17
auditors,55
refund,7
wholesale,3
scanners,9
payable,16
check-writing,3
acco,116
exceptional,168
ii/,2
ii/contract,2
manager's,4
pre-solicitation,12
awards,67
renewals,21
determinations,61
clearances,23
accurately,102
correspond,12
it/business,2
writer,14
broad,109
architect,81
mainframe,24
java,19
jsp,2
cobol,4
db2,14
ms-sql,2
associating,2
stakeholderâ€™s,2
operationâ€™s,8
world-renowned,20
culturally,46
linguistically,30
since,38
1805,14
groundbreaking,58
statewide,11
750,16
2020,8
epidemic,34
draws,3
upon,118
health.ny.gov/ete,2
priorities:,2
medicines,4
marginalized,8
disproportionately,2
state-of-the-art,38
science,102
fewer,2
progressive,6
decline,2
hiv/aids,50
sex,60
"â€¢	supervising",38
navigators,4
caseload,36
"â€¢	conducting",46
waiting,7
std/hiv/aids/hepatitis,4
"â€¢	providing",79
insurance,24
entitlements,8
"â€¢	maintaining",52
"	monitor",2
delegation,4
accountability,85
relate,67
networks,91
staffing,87
doittâ€™s,25
ihd,95
corresponding,43
architectural,102
hvac,66
cad,31
non-engineering,25
great,117
phase,72
undertaken,21
tunnels,74
pump,49
hmi,6
scada,14
hefsp,14
hiv-diagnosed,4
dissemination,67
coaches,14
providersâ€™,4
challenging,40
pprs,2
subject-matter,9
affecting,77
dv,9
substance,43
"â€¢	serves",8
least,67
lgbtq,6
trafficking,16
consults,27
opta,2
"â€¢	develops",16
continuum,10
models,115
"â€¢	follows",2
elevated,24
ercs,2
overcoming,2
deterring,2
achievement,18
erc,2
dcp,174
fps,2
hra,44
"â€¢	assists",66
step-up,2
disposition,45
"â€¢	provides",23
consultations,44
navigating,10
receiving,71
8-Jun,2
"â€¢	observes",2
feedback,152
arranging,24
"â€¢	represents",22
dps,2
workgroup/,2
predictive,11
analytics,160
"â€¢	consults",4
"â€¢	completes",13
explaining,19
record/convey,2
activities/findings/recommendations,2
critical/fatality,2
"â€¢	participates",32
"â€¢	actively",10
participates,44
corona,5
managed,125
bwt,134
95,14
gowanus,6
superfund,8
tanks,30
$6 ,14
$300 ,14
$500 ,18
80,26
sewers,85
dredging,8
disinfection,18
varied,16
elements,53
relocation,26
bending,18
weirs,2
outfall,2
bodies,28
reasonable,34
adapt,18
pmis,8
commonly,6
e-builder,6
dyfj,19
juvenile,272
non-secure,11
placement,111
nsp,2
lsp,2
fap,13
jji,2
aftercare,2
respite,10
"â€¢	research",36
promising,6
"â€¢	prepares",51
obtained,23
from:,2
participant,9
"â€¢	analyze",37
indicators,128
systemic,32
strengths,14
meaningful,52
held,33
qualitative,58
decisions,164
composites,4
profiles,22
original,54
"â€¢	using",10
collaborative,119
willing,7
adjacent,33
flexibility,33
evening,53
edge,6
itsm,24
integrations,21
frameworks,12
acting,115
automate,10
multi-source,2
federated,2
unify,2
role-based,2
views,14
tailor,4
audiences,80
filter,10
view,38
perspectives,26
domains,18
psac1,2
psac2,2
situational,14
end-to-end,12
targeted,99
securely,2
psac,22
rapidly,33
quickly,33
logical,15
highlight,16
dashboard,10
toolâ€™s,2
netcool,6
bmc,4
sla,4
cmdb,24
deep,26
dive,4
run,26
books,18
provisioning,8
seamless,16
regardless,18
psacâ€™s,2
programâ€™s,18
capabilities,51
effectiveness,169
exterminators,8
sanitation,115
pertain,12
bait,2
city-issued,6
clothing,5
extermination,10
precautions,6
pesticides,6
signs,18
applied,49
moda,35
actionable,22
insight,22
greater,13
grow,22
touches,4
virtually,4
depending,25
plays,28
evangelist,2
host,8
incubator,4
civic,63
ambitious,33
legislation,114
delivering,65
raw,8
increasingly,12
presenting,38
rich,5
developers,132
anyone,3
else,4
apps,42
fosters,6
leverages,12
talents,3
tough,2
modaâ€™s,2
â€¢recruit,2
academic,43
institutions,55
around,96
â€¢establish,6
data-sharing,4
â€¢support,28
cross-agency,18
sharing,85
aimed,63
growing,50
â€¢coordinate,26
â€¢actively,2
definition,27
on-time,23
â€¢understand,6
â€¢develop,34
â€¢provide,38
â€¢manage,71
â€¢handle,6
grahamsville,4
acquisition,87
aquarius,4
remain,28
â€œcleanâ€,2
printouts,5
scientific,126
purposed,2
intranet,13
pages,12
display,12
graphics,34
privileged,12
identity,14
pim,8
formerly,17
minder,2
failures,24
"â€¢	advanced",3
mission:,3
fairly,110
transparently,108
instill,112
confidence,125
encourage,163
ta&e,32
income,85
potentially,36
evading,14
ctas,14
taxpayer,35
division/audit,1
a/c,6
headcount,7
bdam,4
"â€¢	collects",6
projective,4
"â€¢	monitors",11
subordinatesâ€™,10
observation,15
"â€¢	compare",4
milestone,11
nature,90
desires,4
timetable,4
"â€¢	liaison",10
entire,49
closings,16
wms/ccrs/bics,4
promis,5
medicaid,44
activations,41
sso,10
recon,2
ssps,4
"â€¢	initiate",9
corrected,18
like,77
lts,6
"â€¢	rate",2
employeeâ€™s,10
cmom,76
nyc's,31
imposed,14
authorities,28
adhering,30
epaâ€™s,14
framework,42
numerous,41
insufficiencies,6
diagnose,35
prompted,10
adverse,25
flooding,19
wide-scope,4
trials,169
cooperating,2
steady,18
uninterrupted,12
everyday,8
elevation,2
optimization,35
parties,74
450,42
support:,16
citrix,22
xenapp,11
xendesktop,4
printers,30
party,43
fix,14
sla's,6
steps,37
checklists/instructions,8
bureauof,2
regulatin,2
especilly,2
remove,33
refuse,16
accumulations,2
interiors,2
exteriors,2
loads,12
accumulation,2
trucks,25
tenants,48
apartments,12
clean-up,7
selecting,15
rodenticides,8
baits,4
eliminating,20
cellars,2
interiors/exteriors,2
unskilled,2
crew,26
delinquency,139
appear,33
discovery,66
bills,16
responsive,56
papers,53
highly-motivated,8
dacco,23
dofâ€™s,6
expiration,6
rfpâ€™s,10
invitations,10
bids,53
ifb,4
consulting,62
joc,44
concepts,42
along,77
shaft,26
unitâ€™s,88
telemetry,8
submittals,27
rebuilt,4
shafts,58
refurbished,4
riser,6
investigating,81
mechanical/electrical,4
cause,42
recurring,17
recommends,35
"day.													",2
i.t,6
functions:,8
mobile,184
devices/apps,2
computing,30
s.c.a.d.a,2
iconics,2
wonderware,2
programmable,10
logic,23
plc,4
loggers,4
avantis,2
sharepoint,54
rights,193
create/modify,2
debug,2
end-user,30
"	prepare",8
packets,22
pmo,86
heads,26
initiate,76
triggering,2
pats,2
"	track",6
levy,4
allocating,10
ctl,6
"	submit",2
qualifications,23
references,10
"	work",22
hr,72
citytime,42
reconciling,19
$2 ,10
judgement,22
budget-aotps/technical/capital,2
"â€¢	direct",34
aotps/technical/capital,2
omb,119
exercises,119
pegs,6
surplus/needs,8
"â€¢	forecast",10
"â€¢	revamping",2
forecasting,33
simplified,2
ways,41
"â€¢	assisting",108
$2.80 ,4
carried,10
pursue,19
cyclical,6
constructs,4
allocations,21
item,11
substantive,17
paralegals,18
moving,45
messengers,5
alert,15
pacer,2
sorts,5
trauma-informed,12
ten,31
site-based,4
home-based,19
childhood,68
center-based,14
emotional,46
"â€¢	assess",26
"â€¢	confer",4
multi-disciplinary,23
"â€¢	build",33
rapport,4
strengths-based,2
outcome,39
accepted,33
neglect,40
registry,51
supervisory/managerial,2
psychiatrists,2
psychologists,2
educators,21
non-government,2
debtors,6
options,42
enforce,50
dunning,1
investigator,125
simultaneously,23
delinquent,27
outbound,5
streams,17
step,7
past,31
amount,27
debtorsâ€™,1
jointly,13
seizure,3
self-motivated,24
energetic,35
high-level,51
sensitive,82
wage,32
division/equal,1
prohibit,1
discrimination,131
alleged,29
protected,10
class,50
religious,4
disability,78
accommodations,20
mediation,59
tsd,44
â€œclean,13
waterâ€,13
united,78
rock,11
proud,7
century-old,7
tapping,7
modern,13
finite,7
element,11
fem,7
chambers,25
subsurface,14
surface,24
dsdc,7
advices,7
technically,31
said,29
necessarily,11
outsourced,19
candidatesâ€™,10
travelling,5
apa,2
children's,15
servicesâ€™,6
program-specific,2
parent,8
"â€¢	compile",8
devoted,12
educative,4
dictated,8
acs/dyfj/jsa,4
"â€¢	the",36
champion,11
strength,7
competencies,21
"â€¢	collaborate",68
work:,15
"â€¢	have",4
cw,2
"â€¢	being",6
developmental,59
participants,62
frontline,21
indicated,23
sophisticated,14
systemâ€™s,18
relational,8
encouraged,9
query,4
datasets,45
"â€¢	draft",15
write-ups,2
insights,31
gathered,4
cp,14
outs,9
initiated,36
commencement,3
accoâ€™s,5
dozens,3
cps,14
thousand,3
registrations,22
month,21
multi-billion,3
recouping,1
handled,15
finally,11
tracked,12
principle,3
capital/expense,7
obtaining,65
initiating,46
mocs,89
fcb,1
encumbrances,12
exceed,3
submittal,13
stemming,1
eao,22
complications,1
justifying,1
tocs,4
granted,8
bppu,1
program-wide,1
variance,12
generating,52
checklists,13
folders,21
laptops,26
ipads,8
decommissioned,4
"â€¢	working",87
restore,17
"â€¢	configuring",4
airwatch,3
blacklisting/whitelisting,2
pushing,16
geo-fencing,2
"â€¢	setting",8
blackberries,2
smartphones,20
bes,6
reset,2
peripherals,17
desktops,9
itâ€™s,10
manageengine,4
servicedesk+,4
"â€¢	tracking",12
ffm,2
"â€¢	imaging",4
encrypting,4
configuring,12
setup,22
userâ€™s,7
dbaâ€™s,2
disposed,4
appropriately,59
"â€¢	liaising",4
fch,90
bmirh,54
bei,46
screenings,64
clinician,10
transmit,11
transcribe,8
self,8
preparedness,222
southeast,14
are:,37
"1)	providing",4
initiations,10
cpis,8
consist,14
worksheets,13
"2)	providing",4
build-out,4
master,44
reconstructing,4
replacing,21
defective,23
mains,81
"3)	reviewing",4
"4)	representing",6
"5)	directing",2
recruiting,93
zika,4
larvicides,6
insecticides,2
traps,3
standing,51
fresh,4
floodwater,2
woodland,2
ponds,7
basin,16
abandoned,6
swimming,2
handles,46
accounted,8
intensive,15
mangers,6
"	fulfill",2
producing,49
images,18
productions,24
secured,4
handed,2
legally,6
defensible,2
fashion,34
"â€¢	administer",17
concordance,6
load,30
tag,9
cpls,2
clearwell,4
online,94
"â€¢	encrypt",2
decrypt,2
coming,12
leaving,2
batch,10
files/scripts,2
"â€¢	qc",2
conflicts,67
bates,2
ranges,2
ringtail,2
format,16
"â€¢	communicate",29
"â€¢	manipulate",2
produced,8
uncommon,2
setup/configuration,2
hosted,16
"â€¢	batch",4
convert/manipulate,2
pdfs,2
"â€¢	ftp",2
culling,4
dtsearch,2
syntax,2
controller,10
nm,18
entitles,10
non-governmental,10
obligations,15
constituents,27
"â€¢	preserve",2
confidentiality,35
safeguarding,12
folder,8
device/system,2
domain,13
removing,6
areas/business,2
unauthorized,6
accidental,2
duplication,11
destruction,3
"â€¢	report",10
breaches,8
recorded,13
â€˜evidenceâ€™,2
trails,2
manually,12
individualâ€™s,4
discoveries,2
deliverable,6
desks/it,2
provisioning/deprovisioning,2
"â€¢	become",8
post-resolution,2
ups,7
batches,4
vrms,6
imaging,15
acknowledgement,12
paternity,19
uncertified,4
microfilm,4
reels,4
necessitated,4
sealed,26
vault,10
ordered,6
envelope,2
birth/death,2
evers,2
preventionã¢â‚¬â„¢s,2
edip,6
ã¢â‚¬â€œ,6
situated,4
exposures,6
demographic,12
communicates,29
generates,19
immediate,69
imminent,10
multidisciplinary,6
amendments,43
"â€¢	facilitate",29
cross-divisional,4
"â€¢	oversees",10
performance-based,12
financing,34
renewal,22
solicitation,45
negotiated,20
acquisitions,30
cooperation,17
jurisdictions,18
possesses,8
nonprofit,34
epi,28
regional,44
catchment,4
drills,74
ceqr,106
seqr,12
wetlands,26
landscaping,17
population/employment,12
demand/flow,12
bookkeeper,7
computations,22
bookkeeping,11
compiling,46
calculating,9
examining,26
transmittals,6
increases,9
order-to-work,4
milestones,75
extensions,31
completeness,62
up-to-date,75
progress/status,4
#5015,2
transit-oriented,16
consensus-based,8
zoning,200
discretionary,30
demography,16
waterfront,60
planningâ€™s,4
â€œblueprintâ€,2
broader,40
wish,11
website,163
blueprint,8
thoughtful,6
pre-certification,2
typically,16
of:,11
launch,44
requirement,57
harnessing,4
stick,6
next,89
months,24
expect,5
on:,4
express,5
"â€¢	right-sizing",2
first-time,8
filers,4
"â€¢	play",3
accompanying,48
behavior,46
paperless,4
leads,109
"â€¢	performs",78
"â€¢	identifies",8
"â€¢	collaborates",10
â€œchange,2
agentsâ€,2
teaching,8
"â€¢	addresses",2
"â€¢	coordinates",23
interdivisional,4
30-35,10
pubic,2
real,268
estate,189
breach,7
foreclosure,4
brought,22
constituent,31
pleadings,29
argue,11
facility's,8
electric,48
bearings,20
switchboards,10
transformers,10
circuit,10
breakers,10
compressors,18
fittings,8
ventilation,28
apparatuses,8
oilers,10
telephony,12
cucm,2
unity,3
clusters,6
ldap,3
dr,3
dial-plan,1
enhancements,80
router/switch,3
qos,5
multicasting,3
isdn,3
hsrp,3
gateway,9
unified,16
ccm,1
9.x/,2
10.x,2
jabber,2
messaging,34
srst,1
priorities,167
writerâ€™s,2
"â€¢	writing",8
memoranda,91
"â€¢	supporting",22
"â€¢	updating",6
$2.90 ,2
fy14,2
judgment:,3
progam,2
volumes,14
"â€¢	accurately",4
civilian,53
nypd's,4
investigators,94
background,96
ordinary,5
bearing,1
character,3
fingerprint,17
utilizes,33
adjudications,13
camera,4
issued,56
car,17
rental,30
lessors,1
workloads,3
claims,227
enroll,5
terminate,1
proficiently,4
"100,000",18
mailboxes,3
itil,8
global,8
exchange2010,2
/2013,2
backup/recovery,10
virus,8
spam,4
exchange/ad,4
department's,30
claim,52
representing,74
affidavits,12
possibility,10
testimony,38
sometimes,10
dot,239
negative,15
rain,52
gardens,55
permeable,6
pavements,4
ddc,107
edc,24
interests,33
geometric,18
focusing,13
traffic,128
siting,8
dotâ€™s,68
garden,22
highway,27
aashto,4
mutcd,6
ada,45
gd,2
autocad,23
55,62
manhattan,71
28-11,12
plaza,58
licensed,78
permitted,52
inspects,52
after-school,18
illegally,4
thus,8
likely,8
conveying,9
choosing,2
unsafe,8
unhealthy,4
illegal,30
intense,2
doi,105
eleven,2
landlords,21
herman,2
miller,2
agile,24
customizations,10
dynamics,71
customize,18
permanently,67
signals,12
units/engineers,2
pedestrian,173
countdown,2
consisting,31
appointments/meetings,2
signals/street,2
distributing,11
2008,10
2012,18
dhcp,5
dns,9
zones,7
containers,7
failover,3
vmware,30
workstations,9
esxi,4
5.5,4
nas,3
publish,13
ports,3
routes,11
vlans,3
tcp/ip,3
subnets,3
safeguard,25
cctv,10
abide,26
english,25
therefore,21
shift,35
pounds,10
river,27
movable,11
approves,44
represents,22
off-hours,8
examples,32
hydrant,8
crews,24
reactivations,4
disinfecting,4
comments,48
although,8
occur,38
hour,34
jj,4
"â€¢	expertise",2
jc,3
pre-service,2
fall,30
purview,13
elmhurst,44
scheduler,8
constraints,28
reasonableness,16
cm,14
briefings,37
cmâ€™s,4
contractorâ€™s,4
junior,80
achievable,8
governance,63
â€¢input,2
isolate,18
variances,25
baseline,18
fragments,4
â€¢identification,4
â€¢assess,2
â€¢initiate,4
â€¢interface,2
assumptions,8
escalations,6
alignment,48
timeline,23
plan/schedules,4
mitigation,107
contingency,17
rfp,26
competing,14
stakeholdersâ€™,6
lifecycles,10
services/payment,6
convenience,2
reflect,21
billed,6
floor,75
supervisor/facilitator,2
candidate's,11
movement/flow,2
cashiers,8
lend,2
mitigate,52
projectsâ€™,10
cost:,4
hro,12
allows,23
cdbg-dr,8
hardest,6
hit,6
cms,40
resolved,34
"â€¢	obtain",9
expert-level,4
"â€¢	track",29
proactively,48
light,39
duty,21
uniform,43
automotive,78
fastfleet,2
carpooling,2
warranty,8
glass,6
$8 ,2
confers,3
advises,43
forecast,16
de-registrations,1
trains,44
fms2/fms3,1
division/sharepoint,2
detail-oriented,14
re-design,5
box,14
ootb,3
brings,12
bics,2
aka,2
wms,7
cloud,50
hybrid,6
iaas,8
saas,9
virtualization,6
datacenter,10
hyper-converged,2
x86,4
dealing,12
migrating,4
transitioning,5
repeatable,5
migration,28
replication,10
revolving,3
fund,82
srf,1
resiliency,124
fema,14
loan,31
office-wide,2
ordering,25
interacting,20
198,1
161st,1
851,1
1775,1
grand,14
concourse,4
inclusive,58
included,34
repairing,32
pipe,13
hydrants,51
leak,6
plumbers,33
reconstruction,44
noted,12
roughly,4
600,13
barely,4
noticed,4
repaired,4
entails,14
appurtenances,14
manning,4
replacement,58
system-related,4
damage,63
thereto,10
enforces,70
nysdoh,5
owned,76
wwcpâ€™s,2
wwtp,54
hook,6
owlâ€™s,4
richmond,28
oakwood,4
beach,15
residual,10
chlorine,14
wwtps,10
cogeneration,2
electrification,2
iii/accountable,2
technical/administrative,6
directs,69
conform,27
negotiation,69
motivate,10
â€œhands-onâ€,2
recognizing,10
see,50
conception,14
communication/coordination,6
valuation,40
valuations,19
fair,53
equitable,87
propertyâ€™s,8
pts,12
rpad,8
convert,4
stand-alone,2
gaps,73
conversion,17
to/from,4
archived,18
condominium,2
non-condominium,2
apportionments,4
reuc,2
protective,88
geographic,42
zone,33
satellite,8
"â€¢	responsible",31
/or,16
aggregate,10
"â€¢	intervene",1
discretion,29
assuming,6
"â€¢	attend",39
relays,6
"â€¢	hold",1
achievements,14
disciplinary,60
sufficiently,9
staffed,12
equipped,11
"â€¢	exemplify",3
forefront,4
cutting-edge,26
facilitation,16
canvassing,8
peco,32
oepr,70
canvass,6
disabilities,72
post-disaster,16
mobilized,2
"5,000",27
households,7
disruption,4
48,2
formally,2
lessons,25
learned,14
bapr,2
except,4
accomplish,33
high-profile,16
deadline-driven,10
tactically,2
strategically,23
relying,2
accomplishes,8
consensus,17
plans/timelines,2
point-of-contact,6
court-reporting,2
facilitates,21
relationship/consensus,2
emergency-related,2
non-business,32
24-hour,18
builds,30
iis,5
config,2
usable,6
conduct/direct,2
portion,27
/she,2
sql/oracle,4
equally,9
clustered,4
non-clustered,4
luns,4
/365,4
multiple-cluster,4
corruption,164
dba,24
sdlc,19
replications,4
always,8
shipping,6
ssis,14
ssrs,18
non-rac,4
rac,4
tools/products,4
citiserv,4
grid,9
12c,4
asm,8
cluster,10
filesystem,4
add,10
disks,6
patching,9
instance,8
caging,4
setup/administer,4
db,8
rman,4
configure/support,4
dataguard,4
golden,4
gate,18
client/server,4
routines,7
optimal,24
create/maintain,4
referential,4
relationships/constraints,4
diagnosis,22
develop/maintain,4
scripts,49
perinatal,4
hepatitis,16
b,43
phbp,2
immunization,20
pregnant,4
tested,12
infants,14
born,4
mothers,19
accomplishing,13
dose,2
child's,20
activities:,13
interviewing,42
workload,25
casework,18
accompany,12
mandatory,35
improvementâ€”central,2
tasks/responsibilities,2
duties/responsibilities:,2
"â€¢	design",30
department/,2
28/36,4
comparative,4
download,2
export,8
complied,6
computed,2
graph,4
pdf,2
score,4
dash,2
28,6
/36,2
/data,2
qpr,4
improvement/,2
prevention/control,2
pharmacy,5
committee,41
clinicsâ€™,2
calls/,2
suggested,2
voiced,2
money,18
place-based,12
inequities,28
anti-violence,2
cure,18
dollars,28
interdepartmental,5
young,43
men's,2
micro,18
moa,4
contract-related,2
discrepancies,41
nycaps,33
prfs,3
streamlining,4
exists,8
sustain,28
"5,700",2
re-occurrences,2
investigatory,18
verified,2
infractions,4
accidents,46
misses,2
factors,40
causing,34
structured,14
yet,4
concise,24
complaints/incidents,2
sent,11
avenues,2
45,8
days,66
mobility,29
de,40
blasioâ€™s,18
pathways:,10
together,36
expanding,81
find,35
thrive,30
wages,8
intermediaries,6
academia,8
philanthropy,6
vitality,15
superior,14
pool,44
beverage,4
hospitality,6
advisory,44
founding,2
high-performance,6
convening,10
scaling,4
demographics,17
generalist,2
5-Feb,2
yearsâ€™,6
â€¢translate,2
measurable,24
â€¢build,10
iterate,2
efficacy,23
â€¢facilitate,2
cultivation,4
mobilize,4
â€¢oversee,30
â€¢generate,4
real-time,44
supervisor's,7
movement,22
digest,5
transcripts,13
collate,1
motion,15
clerks,3
adolescent,40
pha,12
workshops,139
population,107
sexuality,4
disseminating,25
doe,59
publicizing,7
mos,48
planyc,4
onenyc,44
lives,42
multi-pronged,4
accelerator,30
launched,14
september,16
2015,13
city:,6
last,8
bill,16
ten-year,43
april,2
2016,37
announced,6
â€œhigh,4
trackâ€,2
retrofits,6
greenhouse,10
percent,12
2005,4
2050,12
x,9
50,40
three-year,2
housed,16
tenant,74
years.,2
preventing,25
sewer/street,4
collapses,4
vendorsâ€™,23
peripheral,6
inspections/investigations,6
descending,16
ladder,8
stooping,12
distinguishing,14
clipboards,4
damp,18
smoky,12
acrid,14
wear,20
gear,9
vest,6
boots,6
gloves,8
hard,47
mask,6
goggles,8
commissionerâ€™s,70
guiding,15
entrepreneurship,5
proprieties,2
define/measure,2
organizationâ€™s,6
â€¢conduct,33
â€¢synthesize,6
â€¢lead,34
2-Jan,10
â€¢structure,2
machinist,16
valhalla,8
mechanically,6
arrest,29
barriers,32
vadâ€™s,2
replace,39
actuators,2
brakes,6
furthermore,10
grinding,2
welding,14
reforming,4
barrier,4
slight,2
collisions,8
telecommunication,18
governmentâ€™s,3
modernize,42
employ,27
empower,18
life:,8
redundancy,8
negotiate,54
franchise,6
cable,10
television,14
opportunity:,8
portal,50
fellow,17
publicly,7
data/open,1
analyst/coordinator,9
fast,20
paced,13
coordinatorâ€™s,5
odc,1
"â€¢	plan",31
"â€¢	partner",6
verifications,6
formatted,3
consistently,17
108,1
odcs,1
automations,1
tsm,2
106,1
publishing,11
dictionary,6
107,1
"â€¢	update",11
"â€¢	capture",1
rectify,1
senior-level,5
fields,39
vice,26
president,42
nycha,247
nextgeneration,26
nextgen,16
nycha-owned,8
mixed-income,4
retail,16
aims,57
much,10
affordable,107
amenities,4
second,24
underused,4
100%,6
"1.	evaluate",2
nychaâ€™s,113
pipeline,32
"2.	collaborate",2
stronger,22
"3.	interact",2
feasible,14
"4.	work",4
explain,30
garner,2
"5.	ensure",4
"6.	participate",2
pre-qualification,2
"7.	responsible",2
managers:,4
"â€¢	identify",65
evaluates,81
internetworking,2
evening/overnight,2
scalability,4
cost-efficiency,2
client-generated,2
agency-mandated,2
processes/functions,4
router,5
multicast,2
ntp,4
vlan,4
tacacs,2
hsrp/glbp,2
advanced-level,2
"â€¢	document",16
webex,2
reachable,64
#,42
5013,8
failure,154
disqualification,146
signature,16
benchmark,10
incumbents,9
conditioning,23
coil,5
cleaning,98
duct,8
top,10
handlers,19
chillers,4
cooling,39
towers,23
"â€¢	change",2
belts,9
filters,11
greases,4
visually,4
"â€¢	clean",8
lubricate,11
gears,6
mud,4
drums,6
tubes,14
combustion,25
coils,4
chilled,11
condenser,8
ducts,4
registers,10
returns,20
chemical,48
adds,4
lime,4
disinfect,4
deodorize,4
liquids,8
unloading,19
condensate,8
pans,4
inside,15
ahus,4
rtus,4
map,40
subdivisions,2
parcels,7
boundaries,4
mergers,2
condominiums,2
parcel,5
deeds,9
boundary,2
county,41
illustrate,4
recommending,59
defending,10
signing,16
sealing,17
majority,29
bwtâ€™s,23
becoming,27
eh&s,45
handbook,15
eh,3
incidence,27
comprise,7
division:,1
sciences,23
latest,61
languages,19
registrants,3
vending,14
spanish,5
"â€¢	train",3
oral,39
enquiries,3
academyâ€™s,1
"â€¢	proctor",1
taught,9
examinees,1
non-competitive,13
open-competitive,13
institution,7
matching,16
fidm,1
liabilities,7
gentax,1
fairtax,3
lexis-nexus,1
dun,1
bradstreet,1
bills/letters,1
attainable,7
eligible,104
jvn,7
opm,10
construction/construction-related,5
limit,9
"$100,000 ",25
"$20,000 ",10
micro-purchases,5
ogs,7
gsa,7
adequacy,29
ocp,33
lowest,16
bidder,7
advantageous,7
vendex,11
prevailing,21
entity,10
mwbe,29
compete,11
formal,37
management's,7
maximizing,21
competition,9
session:,2
iva,4
strengthening,18
bssa,22
scientists,15
enhances,30
scalable,12
behavioral,102
rigor,2
study,45
proposal,49
estimate,30
evaluation-related,4
cost-benefit,10
peer-reviewed,10
articles,40
proposition,2
librarian,2
mayor's,63
colleagues,36
literacy,22
interlibrary,4
book,23
"â€¢	performing",62
cataloging,7
periodicals,2
subjects,33
"â€¢	complete",11
24,12
on-call,43
ppe,12
bulk,8
petroleum,10
recycling,20
noise/hearing,2
bloodborne,4
respiratory,6
scaffolding,2
asbestos,44
mercury,2
pcb,2
rtk/hazardous,2
phl,68
microbiologist,18
viral,12
culture,81
bacterial,2
rabies,4
necropsy,2
microscopy,2
cross-training,12
surge,12
lis,10
ferry,50
engine,21
unlicensed,6
vessel,35
deck,8
crewing,2
24-hour-a-day,2
fuel,43
contract/project,2
filenet,10
bugs,8
defect,20
brds,6
cross-functional,25
qtp,6
selenium,6
filling,2
closes,2
27,6
systematic,8
readily,8
retrievable,7
read:,10
6048,2
proof,28
cpss,24
paying,6
reconciliations,26
dof's,4
occurring,15
complicated,9
minimize,47
fraud,110
losses,7
daily/weekly/monthly,4
booked,8
receipts,21
disbursements,5
supervisor/manager,5
adviser,33
1029,8
bhiv,40
face-to-face,9
hiv-positive,14
names,9
out-of-care,16
unaware,8
named,10
exposure,22
nation's,42
1892,2
world's,20
bacteriological,2
campaign,24
diphtheria,2
expanded,13
state-of,2
the-art,2
communicable/infectious,2
quality-laboratory,2
h,2
ealth,2
today,6
outbreaks,16
validates,2
fellows,24
interns,85
assuring,31
cdc,2
project-generated,2
referring,6
resistant/reduced,2
susceptibility,2
gc,8
eg,6
men-who-have-sex-with-men,2
anorectal,2
pre-exposure,4
prophylaxis(prep,2
landscape,66
suitable,8
intent,4
hr&s,2
composed,16
typewriter,2
incidental,11
typing,19
transferring,5
groupâ€™s,11
environmentally,25
zero,58
harm,36
preconstruction,6
turnover,16
groundwater,59
excavation,4
backfill,2
drilling,4
solid,29
spill,10
lead/,2
mercury/pcb,2
cradle-to-grave,2
shortfalls,2
updates/revisions,2
logged,5
monitored,10
consistency,40
kpis,16
non-conformances,4
alm,10
pcip,10
pcipâ€™s,4
cancer,40
â€˜cppâ€™,2
remains,34
premature,2
cpp,8
colon,4
breast,4
cervical,4
cancers,2
maximum,32
healthcare,52
â€˜at,2
riskâ€™,2
chiefly,2
"â€¢	gain",2
points,57
reform,20
accreditation,12
authoritative,12
dop,93
safer,51
fostering,54
â€“pre-sentence,8
supervised,32
adult,64
guides,35
panels,18
purpose,37
automatic,10
apt,24
dmss)â€™,2
alternate,16
moec,20
seqra,4
conducted,52
sponsored,4
corporation,35
ace,2
classifications,6
"â€¢	overseeing",46
inspecting,41
roadway,34
inspections/field,2
"â€¢	reviewing",24
geometry,6
"â€¢	preparing",46
resident,42
transpire,4
"â€¢	comfortable",4
sheeted,2
trenches,2
manholes,2
underground,44
"â€¢	strong",23
"â€¢	proficient",2
"â€¢	knowledge",2
utmost,2
professionalism,40
/press,2
breaking,14
developments,84
talking,25
quotes,11
notifying,6
inquires,7
phones,31
occasionally,24
high-pressure,18
lrp,2
transformative,4
line-ofâ­,2
modem,4
exceptionally,4
"""hands",4
"on""",4
inventorying,4
normalizing,2
unstructured,4
conversions,4
architectures,16
pension,35
non-relational,2
starting,30
vsam,2
comprehensively,2
remediate,4
without,18
delegating,2
sme's,4
definitions,8
