,11
#name?,92
*,2
**,2
-,18
-ability,2
-direct,2
-experience,4
-familiarity,2
-knowledge,2
-ma/ms,2
-strong,2
.applicant,2
1.,2
2-5,2
a,4
ability,2
applicant,23
at,2
bi,2
bi-lingual:,2
bilingual,4
bilingual:,7
board,14
candidate,4
candidates,4
community,2
"current,",2
excellent,24
experience,27
expertise,8
extensive,2
familiarity,2
five,2
fluency,6
functional,2
good,12
highly,2
in,1
in-depth,2
it,2
keen,2
knowledge,22
license,6
"lmsw,",2
master's,4
masters,2
"maternal,",2
minimum,4
must,8
null,60
o,2
one,2
patient,8
preference,4
preferred,10
prior,2
proficiency,2
proficient,2
qualifications,2
qualifying,2
spanish,4
special,2
strong,23
successful,2
supervisory,2
technical,1
the,39
three,2
traveling,2
